Gene,Attention_Score
MAN1C1,1.1563668
SELENON,1.1563668
MTFR1L,1.1563668
AUNIP,1.1563668
STMN1,1.1563668
PAFAH2,1.1563668
EXTL1,1.1563668
PDIK1L,1.1563668
SH3BGRL3,1.1563668
CD52,1.1563668
CIT,1.1563668
ARID1A,1.1563668
GPATCH3,0.6662611
NUDC,0.6662611
KDF1,0.6662611
TRNP1,0.6662611
SLC9A1,0.6662611
MAP3K6,0.6662611
WASF2,0.6662611
IFI6,0.6662611
STX12,0.6662611
PPP1R8,0.6662611
THEMIS2,0.6662611
RPA2,0.6662611
XKR8,0.6662611
EYA3,0.6662611
YTHDF2,0.6662611
EPB41,0.6662611
MECR,0.6662611
LAPTM5,0.6662611
SDC3,0.6662611
NKAIN1,0.6662611
ZCCHC17,0.62407273
FABP3,0.62407273
PEF1,0.62407273
COL16A1,0.62407273
SPOCD1,0.62407273
TXLNA,0.62407273
TMEM234,0.62407273
MTMR9LP,0.62407273
FAM167B,0.62407273
HDAC1,0.62407273
BSDC1,0.62407273
ZBTB8A,0.62407273
ZBTB8OS,0.62407273
RBBP4,0.62407273
KIAA1522,0.62407273
S100PBP,0.62407273
FNDC5,0.62407273
HPCA,0.62407273
TMEM54,0.62407273
RNF19B,0.62407273
AK2,1.1192046
ZNF362,1.1192046
SMIM12,1.1192046
DLGAP3,1.1192046
ZMYM4,1.1192046
PSMB2,1.1192046
C1orf216,1.1192046
AGO4,1.1192046
AGO1,1.1192046
AGO3,1.1192046
TEKT2,1.1192046
COL8A2,1.1192046
LSM10,1.1192046
GRIK3,1.1192046
LINC01137,1.1192046
DNALI1,1.1192046
EPHA10,1.1192046
MANEAL,1.1192046
POU3F1,1.1192046
AKIRIN1,1.1192046
MACF1,1.0583515
PPIEL,1.0583515
HEYL,1.0583515
HPCAL4,1.0583515
PPIE,1.0583515
BMP8B,1.0583515
TRIT1,1.0583515
CAP1,1.0583515
ZMPSTE24,1.0583515
SMAP2,1.0583515
ZFP69,1.0583515
ZNF684,1.0583515
RIMS3,1.0583515
NFYC,1.0583515
CITED4,1.0583515
GUCA2B,1.0583515
RIMKLA,1.0583515
ZMYND12,1.0583515
PPIH,1.0583515
YBX1,1.0583515
C1orf50,1.2367333
EBNA1BP2,1.2367333
MED8,1.2367333
SZT2,1.2367333
HYI,1.2367333
PTPRF,1.2367333
ST3GAL3,1.2367333
B4GALT2,1.2367333
CCDC24,1.2367333
ERI3,1.2367333
RNF220,1.2367333
TMEM53,1.2367333
KIF2C,1.2367333
ZSWIM5,1.2367333
MMACHC,1.2367333
PRDX1,1.2367333
GPBP1L1,1.2367333
TSPAN1,1.2367333
UQCRH,1.2367333
MKNK1,1.2367333
ATPAF1,0.80366784
CYP4X1,0.80366784
CYP4Z1,0.80366784
CMPK1,0.80366784
SPATA6,0.80366784
AGBL4,0.80366784
BEND5,0.80366784
ELAVL4,0.80366784
CDKN2C,0.80366784
RNF11,0.80366784
TTC39A,0.80366784
OSBPL9,0.80366784
NRDC,0.80366784
RAB3B,0.80366784
ZFYVE9,0.80366784
GPX7,0.80366784
SHISAL2A,0.80366784
ZYG11B,0.80366784
ECHDC2,0.80366784
SCP2,0.80366784
C1orf123,1.1131864
LRP8,1.1131864
GLIS1,1.1131864
YIPF1,1.1131864
LRRC42,1.1131864
MRPL37,1.1131864
SSBP3,1.1131864
DHCR24,1.1131864
TMEM61,1.1131864
PLPP3,1.1131864
PRKAA2,1.1131864
OMA1,1.1131864
MYSM1,1.1131864
JUN,1.1131864
FGGY,1.1131864
HK1,1.1131864
CYP2J2,1.1131864
NFIA,1.1131864
PATJ,1.1131864
KANK4,1.1131864
DOCK7,0.8681865
ITGB3BP,0.8681865
EFCAB7,0.8681865
PGM1,0.8681865
CACHD1,0.8681865
RAVER2,0.8681865
JAK1,0.8681865
AK4,0.8681865
LEPR,0.8681865
LEPROT,0.8681865
PDE4B,0.8681865
SGIP1,0.8681865
TCTEX1D1,0.8681865
SLC35D1,0.8681865
IL12RB2,0.8681865
GNG12,0.8681865
DIRAS3,0.8681865
WLS,0.8681865
LRRC7,0.8681865
PIN1P1,0.8681865
SRSF11,0.5709735
CTH,0.5709735
PTGER3,0.5709735
ZRANB2,0.5709735
NEGR1,0.5709735
ERICH3,0.5709735
CRYZ,0.5709735
TYW3,0.5709735
LHX8,0.5709735
SLC44A5,0.5709735
ST6GALNAC3,0.5709735
ST6GALNAC5,0.5709735
AK5,0.5709735
ZZZ3,0.5709735
USP33,0.5709735
MIGA1,0.5709735
NEXN,0.5709735
DNAJB4,0.5709735
IFI44,0.5709735
ADGRL2,0.5709735
SPATA1,0.7904109
SSX2IP,0.7904109
SYDE2,0.7904109
DDAH1,0.7904109
COL24A1,0.7904109
ODF2L,0.7904109
SH3GLB1,0.7904109
HS2ST1,0.7904109
LINC01140,0.7904109
LMO4,0.7904109
PKN2,0.7904109
GBP3,0.7904109
GBP2,0.7904109
GBP4,0.7904109
LOC729930,0.7904109
LRRC8B,0.7904109
LRRC8C,0.7904109
CDC7,0.7904109
EPHX4,0.7904109
KIAA1107,0.7904109
GLMN,1.177187
FAP,1.177187
EVI5,1.177187
MTF2,1.177187
DR1,1.177187
FNBP1L,1.177187
BCAR3,1.177187
GCLM,1.177187
ARHGAP29,1.177187
F3,1.177187
SLC44A3,1.177187
CNN3,1.177187
DPYD,1.177187
SNX7,1.177187
PLPPR5,1.177187
PLPPR4,1.177187
PALMD,1.177187
AGL,1.177187
RTCA,1.177187
CDC14A,1.177187
GPR88,0.8265684
EXTL2,0.8265684
DPH5,0.8265684
S1PR1,0.8265684
OLFM3,0.8265684
COL11A1,0.8265684
RNPC3,0.8265684
PRMT6,0.8265684
NTNG1,0.8265684
NDUFA4,0.8265684
VAV3,0.8265684
FAM102B,0.8265684
PRPF38B,0.8265684
STXBP3,0.8265684
GPSM2,0.8265684
CLCC1,0.8265684
WDR47,0.8265684
CELSR2,0.8265684
MYBPHL,0.8265684
SORT1,0.8265684
ATXN7L2,1.2653378
AMIGO1,1.2653378
GPR61,1.2653378
GSTM2,1.2653378
GSTM1,1.2653378
GSTM5,1.2653378
GSTM3,1.2653378
AHCYL1,1.2653378
ALX3,1.2653378
SLC6A17,1.2653378
KCNC4,1.2653378
RBM15,1.2653378
KCNA2,1.2653378
KCNA3,1.2653378
CD53,1.2653378
DENND2D,1.2653378
OVGP1,1.2653378
C1orf162,1.2653378
TMIGD3,1.2653378
KCND3,1.2653378
LINC01750,1.1258326
WNT2B,1.1258326
ST7L,1.1258326
RHOC,1.1258326
PPM1J,1.1258326
MAGI3,1.1258326
SYT6,1.1258326
BCAS2,1.1258326
DENND2C,1.1258326
NRAS,1.1258326
SIKE1,1.1258326
TSPAN2,1.1258326
VANGL1,1.1258326
ATP1A1,1.1258326
IGSF3,1.1258326
TTF2,1.1258326
GDAP2,1.1258326
LINC00622,1.1258326
ZNF697,1.1258326
PHGDH,1.1258326
PPIAL4A,1.0378352
EMBP1,1.0378352
NUDT17,1.0378352
RBM8A,1.0378352
LIX1L,1.0378352
ANKRD34A,1.0378352
POLR3GL,1.0378352
PRKAB2,1.0378352
CHD1L,1.0378352
PDIA3P1,1.0378352
PPIAL4G,1.0378352
MTMR11,1.0378352
PLEKHO1,1.0378352
ANP32E,1.0378352
C1orf54,1.0378352
ECM1,1.0378352
MCL1,1.0378352
ENSA,1.0378352
CTSK,1.0378352
SETDB1,1.0378352
MLLT11,1.2203636
TNFAIP8L2,1.2203636
PSMD4,1.2203636
RFX5,1.2203636
SELENBP1,1.2203636
SNX27,1.2203636
CELF3,1.2203636
RIIAD1,1.2203636
TDRKH,1.2203636
S100A10,1.2203636
TCHH,1.2203636
LCE3C,1.2203636
LOR,1.2203636
S100A6,1.2203636
S100A16,1.2203636
S100A13,1.2203636
SLC27A3,1.2203636
DENND4B,1.2203636
RAB13,1.2203636
RPS27,1.2203636
TPM3,0.8778818
C1orf43,0.8778818
HAX1,0.8778818
ATP8B2,0.8778818
IL6R,0.8778818
KCNN3,0.8778818
PMVK,0.8778818
PBXIP1,0.8778818
SHC1,0.8778818
CKS1B,0.8778818
FLAD1,0.8778818
ZBTB7B,0.8778818
ADAM15,0.8778818
EFNA1,0.8778818
SLC50A1,0.8778818
THBS3,0.8778818
MTX1,0.8778818
GBA,0.8778818
SCAMP3,0.8778818
HCN3,0.8778818
FDPS,0.7323951
ASH1L,0.7323951
ASH1L-AS1,0.7323951
GON4L,0.7323951
SYT12,0.7323951
RIT1,0.7323951
LAMTOR2,0.7323951
LMNA,0.7323951
SEMA4A,0.7323951
C1orf61,0.7323951
NAXE,0.7323951
GPATCH4,0.7323951
HAPLN2,0.7323951
BCAN,0.7323951
ARHGEF11,0.7323951
KIRREL1,0.7323951
MNDA,0.7323951
IFI16,0.7323951
AIM2,0.7323951
CADM3,0.7323951
ACKR1,0.73485315
DUSP23,0.73485315
TAGLN2,0.73485315
KCNJ9,0.73485315
IGSF8,0.73485315
ATP1A4,0.73485315
CASQ1,0.73485315
PEA15,0.73485315
PEX19,0.73485315
COPA,0.73485315
VANGL2,0.73485315
CD84,0.73485315
TSTD1,0.73485315
KLHDC9,0.73485315
UFC1,0.73485315
USP16,0.73485315
NDUFS2,0.73485315
TOMM40L,0.73485315
PCP4L1,0.73485315
FCGR2A,0.73485315
FCGR3A,1.2015743
RPL31P11,1.2015743
FCRLB,1.2015743
DUSP12,1.2015743
ATF6,1.2015743
OLFML2B,1.2015743
NOS1AP,1.2015743
C1orf226,1.2015743
UHMK1,1.2015743
DDR2,1.2015743
RGS4,1.2015743
RGS5,1.2015743
MGST3,1.2015743
ALDH9A1,1.2015743
FAM78B,1.2015743
TADA1,1.2015743
ILDR2,1.2015743
CREG1,1.2015743
RCSD1,1.2015743
MPZL1,1.2015743
DCAF6,0.99249196
MPC2,0.99249196
GPR161,0.99249196
TBX19,0.99249196
ATP1B1,0.99249196
CCDC181,0.99249196
SLC19A2,0.99249196
KIFAP3,0.99249196
PRRX1,0.99249196
FMO2,0.99249196
METTL13,0.99249196
DNM3,0.99249196
PIGC,0.99249196
SUCO,0.99249196
PRDX6,0.99249196
ANKRD45,0.99249196
KLHL20,0.99249196
RABGAP1L,0.99249196
GPR52,0.99249196
CACYBP,0.99249196
ASTN1,0.97299016
BRINP2,0.97299016
RASAL2,0.97299016
RALGPS2,0.97299016
SOAT1,0.97299016
TOR1AIP2,0.97299016
TOR1AIP1,0.97299016
QSOX1,0.97299016
XPR1,0.97299016
KIAA1614,0.97299016
MR1,0.97299016
IER5,0.97299016
CACNA1E,0.97299016
RNASEL,0.97299016
RGS8,0.97299016
NPL,0.97299016
DHX9,0.97299016
NMNAT2,0.97299016
ARPC5,0.97299016
COLGALT2,0.97299016
C1orf21,1.0212158
EDEM3,1.0212158
IVNS1ABP,1.0212158
TPR,1.0212158
PTGS2,1.0212158
PLA2G4A,1.0212158
BRINP3,1.0212158
RGS18,1.0212158
RGS2,1.0212158
GLRX2,1.0212158
B3GALT2,1.0212158
KCNT2,1.0212158
DENND1B,1.0212158
PTPRC,1.0212158
DDX59,1.0212158
KIF21B,1.0212158
TMEM9,1.0212158
IGFN1,1.0212158
TNNT2,1.0212158
PHLDA3,1.0212158
NAV1,1.075032
SHISA4,1.075032
TIMM17A,1.075032
LGR6,1.075032
PPP1R12B,1.075032
SYT2,1.075032
RABIF,1.075032
ADIPOR1,1.075032
CYB5R1,1.075032
TMEM183A,1.075032
PPFIA4,1.075032
ADORA1,1.075032
CHI3L1,1.075032
ATP2B4,1.075032
ATP2B2,1.075032
LINC00260,1.075032
ZBED6,1.075032
GOLT1A,1.075032
PLEKHA6,1.075032
MDM4,1.075032
LRRN2,1.2011416
TMEM81,1.2011416
TMCC2,1.2011416
KLHDC8A,1.2011416
MFSD4A,1.2011416
RAB29,1.2011416
RAB7B,1.2011416
SRGAP2,1.2011416
RASSF5,1.2011416
DYRK3,1.2011416
PFKFB2,1.2011416
YOD1,1.2011416
MIR29B2CHG,1.2011416
CAMK1G,1.2011416
LAMB3,1.2011416
G0S2,1.2011416
HSD11B1,1.2011416
TRAF3IP3,1.2011416
C1orf74,1.2011416
SERTAD4-AS1,1.2011416
SERTAD4,0.76526695
HHAT,0.76526695
KCNH1,0.76526695
RCOR3,0.76526695
TRAF5,0.76526695
LINC00467,0.76526695
SLC30A1,0.76526695
LPGAT1,0.76526695
PPP2R5A,0.76526695
NENF,0.76526695
BATF3,0.76526695
FLVCR1-AS1,0.76526695
FLVCR1,0.76526695
VASH2,0.76526695
RPS6KC1,0.76526695
SMYD2,0.76526695
PTPN14,0.76526695
CENPF,0.76526695
KCNK2,0.76526695
KCTD3,0.76526695
ESRRG,1.0353571
LYPLAL1,1.0353571
SLC30A10,1.0353571
IARS2,1.0353571
RAB3GAP2,1.0353571
MARK1,1.0353571
C1orf115,1.0353571
TAF1A,1.0353571
BROX,1.0353571
DISP1,1.0353571
SUSD4,1.0353571
CAPN2,1.0353571
TP53BP2,1.0353571
FBXO28,1.0353571
WDR26,1.0353571
CNIH3,1.0353571
DNAH14,1.0353571
SRP9,1.0353571
EPHX1,1.0353571
LIN9,1.0353571
STUM,1.215935
CDC42BPA,1.215935
SNAP47,1.215935
JMJD4,1.215935
GUK1,1.215935
GJC2,1.215935
OBSCN,1.215935
TRIM17,1.215935
RNF187,1.215935
DUSP5P1,1.215935
RAB4A,1.215935
ACTA1,1.215935
LINC01736,1.215935
PGBD5,1.215935
COG2,1.215935
AGT,1.215935
FAM89A,1.215935
EGLN1,1.215935
SIPA1L2,1.215935
PCNX2,1.215935
MAP3K21,1.2755533
KCNK1,1.2755533
SLC35F3,1.2755533
COA6,1.2755533
TARBP1,1.2755533
RBM34,1.2755533
TBCE,1.2755533
B3GALNT2,1.2755533
GNG4,1.2755533
LYST,1.2755533
GPR137B,1.2755533
ERO1B,1.2755533
EDARADD,1.2755533
LGALS8,1.2755533
HEATR1,1.2755533
ACTN2,1.2755533
RYR2,1.2755533
LOC100130331,1.2755533
CHRM3,1.2755533
FMN2,1.2755533
GREM2,1.1727562
RGS7,1.1727562
FH,1.1727562
OPN3,1.1727562
CHML,1.1727562
ZBTB18,1.1727562
COX20,1.1727562
HNRNPU,1.1727562
EFCAB2,1.1727562
KIF26B,1.1727562
TFB2M,1.1727562
CNST,1.1727562
ZNF670,1.1727562
ZNF124,1.1727562
NLRP3,1.1727562
TRIM58,1.1727562
OR2L13,1.1727562
OR2L8,1.1727562
OR2AK2,1.1727562
OR2L3,1.1727562
OR14I1,1.1240597
LYPD8,1.1240597
SH3BP5L,1.1240597
ZNF672,1.1240597
ZNF692,1.1240597
FAM110C,1.1240597
ACP1,1.1240597
ALKAL2,1.1240597
TMEM18,1.1240597
SNTG2,1.1240597
PXDN,1.1240597
EIPR1,1.1240597
ADI1,1.1240597
SOX11,1.1240597
LINC01105,1.1240597
RSAD2,1.1240597
RNF144A,1.1240597
ID2,1.1240597
MBOAT2,1.1240597
ASAP2,1.1240597
ITGB1BP1,1.4078715
YWHAQ,1.4078715
CYS1,1.4078715
HPCAL1,1.4078715
KCNF1,1.4078715
FLJ33534,1.4078715
ROCK2,1.4078715
NTSR2,1.4078715
LPIN1,1.4078715
TRIB2,1.4078715
FAM84A,1.4078715
NBAS,1.4078715
DDX1,1.4078715
VSNL1,1.4078715
SMC6,1.4078715
KCNS3,1.4078715
PAN2,1.4078715
WDR35,1.4078715
LAPTM4A,1.4078715
KLHL29,1.4078715
ATAD2B,1.2158598
FKBP1B,1.2158598
FAM228B,1.2158598
TP53I3,1.2158598
PTRHD1,1.2158598
ADCY3,1.2158598
EFR3B,1.2158598
POMC,1.2158598
DNMT3A,1.2158598
KIF3C,1.2158598
GAREM2,1.2158598
HADHB,1.2158598
DRC1,1.2158598
KCNK3,1.2158598
DPYSL5,1.2158598
OST4,1.2158598
KHK,1.2158598
CGREF1,1.2158598
ABHD1,1.2158598
SLC5A6,1.2158598
SLC30A3,0.5606338
DNAJC5G,0.5606338
GTF3C2,0.5606338
SNX17,0.5606338
KRTCAP3,0.5606338
FNDC4,0.5606338
CCDC121,0.5606338
SLC4A1AP,0.5606338
MRPL33,0.5606338
RBKS,0.5606338
BABAM2,0.5606338
FOSL2,0.5606338
PLB1,0.5606338
PPP1CB,0.5606338
TRMT61B,0.5606338
CLIP4,0.5606338
ALK,0.5606338
YPEL5,0.5606338
LBH,0.5606338
GALNT14,0.5606338
EHD3,1.0605495
YIPF4,1.0605495
FAM98A,1.0605495
CRIM1,1.0605495
FEZ2,1.0605495
VIT,1.0605495
STRN,1.0605495
PRKD3,1.0605495
QPCT,1.0605495
CDC42EP3,1.0605495
RMDN2,1.0605495
CYP1B1,1.0605495
CYP1B1-AS1,1.0605495
GALM,1.0605495
TMEM178A,1.0605495
SLC8A1,1.0605495
PKDCC,1.0605495
EML4,1.0605495
KCNG3,1.0605495
MTA3,1.0605495
ZFP36L2,0.69269365
BRF2,0.69269365
PLEKHH2,0.69269365
LRPPRC,0.69269365
PPM1B,0.69269365
CAMKMT,0.69269365
SIX3,0.69269365
PRKCE,0.69269365
EPAS1,0.69269365
ATP6V1E2,0.69269365
RHOQ,0.69269365
PIGF,0.69269365
SOCS5,0.69269365
EPCAM,0.69269365
KCNK12,0.69269365
FOXN2,0.69269365
PPP1R21,0.69269365
STON1,0.69269365
NRXN1,0.69269365
GPR75,0.69269365
ACYP2,0.5714142
EML6,0.5714142
RTN4,0.5714142
MTIF2,0.5714142
EFEMP1,0.5714142
CCDC85A,0.5714142
FANCL,0.5714142
BCL11A,0.5714142
KIAA1841,0.5714142
TMEM17,0.5714142
WDPCP,0.5714142
MDH1,0.5714142
UGP2,0.5714142
VPS54,0.5714142
PELI1,0.5714142
GRP,0.5714142
AFTPH,0.5714142
SLC1A4,0.5714142
CEP68,0.5714142
SPRED2,0.5714142
MEIS1,1.2526091
C1D,1.2526091
PPP3R1,1.2526091
CNRIP1,1.2526091
ARHGAP25,1.2526091
ANTXR1,1.2526091
AAK1,1.2526091
ANXA4,1.2526091
SNRNP27,1.2526091
MXD1,1.2526091
FAM136A,1.2526091
ADD2,1.2526091
NAGK,1.2526091
CYP26B1,1.2526091
SPR,1.2526091
EMX1,1.2526091
RAB11FIP5,1.2526091
PRADC1,1.2526091
FBXO41,1.2526091
EGR4,1.2526091
ALMS1P1,0.79976004
TPRKB,0.79976004
STAMBP,0.79976004
BOLA3-AS1,0.79976004
MTHFD2,0.79976004
DCTN1,0.79976004
WDR54,0.79976004
PCGF1,0.79976004
TLX2,0.79976004
AUP1,0.79976004
HTRA2,0.79976004
LOXL3,0.79976004
DOK1,0.79976004
SEMA4F,0.79976004
HK2,0.79976004
POLE4,0.79976004
MRPL19,0.79976004
LRRTM4,0.79976004
CTNNA2,0.79976004
LRRTM1,0.79976004
SUCLG1,1.1613683
TRABD2A,1.1613683
TMSB10,1.1613683
KCMF1,1.1613683
TCF7L1,1.1613683
ELMOD3,1.1613683
CAPG,1.1613683
GGCX,1.1613683
VAMP8,1.1613683
RNF181,1.1613683
ST3GAL5,1.1613683
MRPL35,1.1613683
RMND5A,1.1613683
CD8B,1.1613683
CYTOR,1.1613683
ANKRD36BP2,1.1613683
ANKRD20A8P,1.1613683
TEKT4,1.1613683
KCNIP3,1.1613683
DUSP2,1.1613683
TMEM127,0.9423954
NEURL3,0.9423954
ARID5A,0.9423954
LMAN2L,0.9423954
CNNM4,0.9423954
SEMA4C,0.9423954
ACTR1B,0.9423954
INPP4A,0.9423954
UNC50,0.9423954
MGAT4A,0.9423954
MRPL30,0.9423954
REV1,0.9423954
LONRF2,0.9423954
CHST10,0.9423954
PDCL3,0.9423954
TBC1D8,0.9423954
CREG2,0.9423954
MFSD9,0.9423954
TMEM182,0.9423954
LINC01102,0.9423954
POU3F3,0.9991593
TGFBRAP1,0.9991593
FHL2,0.9991593
NCK2,0.9991593
C2orf40,0.9991593
UXS1,0.9991593
RGPD3,0.9991593
ST6GAL2,0.9991593
SULT1C4,0.9991593
GCC2,0.9991593
LIMS1,0.9991593
RANBP2,0.9991593
SEPT10,0.9991593
SOWAHC,0.9991593
MALL,0.9991593
NPHP1,0.9991593
LINC01106,0.9991593
MIR4435-2HG,0.9991593
ANAPC1,0.9991593
MERTK,0.9991593
TMEM87B,1.4850962
FBLN7,1.4850962
ZC3H8,1.4850962
TTL,1.4850962
POLR1B,1.4850962
SLC20A1,1.4850962
IL1B,1.4850962
PAX8,1.4850962
PAX8-AS1,1.4850962
SLC35F5,1.4850962
DPP10,1.4850962
DPP10-AS1,1.4850962
MARCO,1.4850962
C1QL2,1.4850962
DBI,1.4850962
PTPN4,1.4850962
EPB41L5,1.4850962
TMEM185B,1.4850962
RALB,1.4850962
INHBB,1.4850962
NIFK,1.3195099
CNTNAP5,1.3195099
IWS1,1.3195099
LIMS2,1.3195099
WDR33,1.3195099
UGGT1,1.3195099
HS6ST1,1.3195099
FAR2P1,1.3195099
MZT2B,1.3195099
CCDC115,1.3195099
IMP4,1.3195099
FAR2P2,1.3195099
AMER3,1.3195099
ARHGEF4,1.3195099
MZT2A,1.3195099
LYPD1,1.3195099
NCKAP5,1.3195099
MGAT5,1.3195099
TMEM163,1.3195099
RAB3GAP1,1.3195099
ZRANB3,0.5683395
R3HDM1,0.5683395
MCM6,0.5683395
CXCR4,0.5683395
HNMT,0.5683395
SPOPL,0.5683395
NXPH2,0.5683395
LRP1B,0.5683395
KYNU,0.5683395
GTDC1,0.5683395
ACVR2A,0.5683395
EPC2,0.5683395
KIF5C,0.5683395
LYPD6,0.5683395
MMADHC,0.5683395
NMI,0.5683395
NEB,0.5683395
ARL5A,0.5683395
CACNB4,0.5683395
STAM2,0.5683395
PRPF40A,1.1968321
GALNT13,1.1968321
RPRM,1.1968321
KCNJ3,1.1968321
NR4A2,1.1968321
GPD2,1.1968321
ACVR1C,1.1968321
ACVR1,1.1968321
UPP2,1.1968321
CCDC148,1.1968321
DAPL1,1.1968321
TANC1,1.1968321
PLA2R1,1.1968321
RBMS1,1.1968321
TANK,1.1968321
TBR1,1.1968321
IFIH1,1.1968321
KCNH7,1.1968321
FIGN,1.1968321
GRB14,1.1968321
COBLL1,1.0620363
SLC38A11,1.0620363
SCN3A,1.0620363
SCN2A,1.0620363
CSRNP3,1.0620363
LOC100506124,1.0620363
TTC21B,1.0620363
SCN1A,1.0620363
SCN9A,1.0620363
SCN7A,1.0620363
STK39,1.0620363
CERS6,1.0620363
NOSTRIN,1.0620363
DHRS9,1.0620363
FASTKD1,1.0620363
SP5,1.0620363
TLK1,1.0620363
METTL8,1.0620363
DCAF17,1.0620363
CYBRD1,1.0620363
SLC25A12,1.0584434
DLX1,1.0584434
RAPGEF4,1.0584434
MAP3K20,1.0584434
SP3,1.0584434
GPR155,1.0584434
CHN1,1.0584434
ATP5MC3,1.0584434
HOXD1,1.0584434
MTX2,1.0584434
LINC01116,1.0584434
HNRNPA3,1.0584434
NFE2L2,1.0584434
HEBP1,1.0584434
PDE11A,1.0584434
OSBPL6,1.0584434
PJVK,1.0584434
FKBP7,1.0584434
TTN,1.0584434
ZNF385B,1.0584434
NEUROD1,0.92168903
PDE1A,0.92168903
DNAJC10,0.92168903
NCKAP1,0.92168903
ZC3H15,0.92168903
FAM171B,0.92168903
GULP1,0.92168903
COL5A2,0.92168903
WDR75,0.92168903
SLC40A1,0.92168903
OSGEPL1,0.92168903
HIBCH,0.92168903
NAB1,0.92168903
GLS,0.92168903
STAT1,0.92168903
STAT4,0.92168903
MYO1B,0.92168903
NABP1,0.92168903
TMEFF2,0.92168903
SLC39A10,0.92168903
STK17B,0.9629008
HECW2,0.9629008
GTF3C3,0.9629008
PGAP1,0.9629008
ARSB,0.9629008
RFTN2,0.9629008
PLCL1,0.9629008
SATB2,0.9629008
C2orf69,0.9629008
TYW5,0.9629008
SPATS2L,0.9629008
CLK1,0.9629008
PPIL3,0.9629008
NIF3L1,0.9629008
FAM126B,0.9629008
NDUFB3,0.9629008
CFLAR,0.9629008
CASP10,0.9629008
TRAK2,0.9629008
C2CD6,0.9629008
TMEM237,1.175506
ALS2,1.175506
FZD7,1.175506
NOP58,1.175506
FAM117B,1.175506
ICA1L,1.175506
NBEAL1,1.175506
CYP20A1,1.175506
RAPH1,1.175506
PARD3B,1.175506
NRP2,1.175506
NDUFS1,1.175506
EEF1B2,1.175506
ADAM23,1.175506
KLF7,1.175506
METTL21A,1.175506
CCNYL1,1.175506
PLEKHM3,1.175506
CRYGD,1.175506
C2orf80,1.175506
IDH1-AS1,1.0048732
CFD,1.0048732
KANSL1L,1.0048732
ACADL,1.0048732
LANCL1,1.0048732
SPAG16,1.0048732
VWC2L,1.0048732
BARD1,1.0048732
FN1,1.0048732
MREG,1.0048732
PECR,1.0048732
TMEM169,1.0048732
LINC01963,1.0048732
RPL37A,1.0048732
IGFBP2,1.0048732
IGFBP5,1.0048732
TNS1,1.0048732
ARPC2,1.0048732
PNKD,1.0048732
TMBIM1,1.0048732
CTDSP1,0.7224105
USP37,0.7224105
PLCD4,0.7224105
TTLL4,0.7224105
WNT6,0.7224105
WNT10A,0.7224105
CRYBA2,0.7224105
CFAP65,0.7224105
RETREG2,0.7224105
