gene_index,gene_id,chromosome,start_site,feature,strand
131,dJ283E3.1,NC_000001.11,1751232,gene,-
132,GNB1,NC_000001.11,1785286,gene,-
132,HG2A,NC_000001.11,1785286,gene,-
133,GNB1-DT,NC_000001.11,1891180,gene,+
134,LOC124903822,NC_000001.11,1906002,gene,-
135,CALML6,NC_000001.11,1915260,gene,+
135,CAGLP,NC_000001.11,1915260,gene,+
136,TMEM52,NC_000001.11,1917591,gene,-
137,CFAP74,NC_000001.11,1921957,gene,-
137,C1orf222,NC_000001.11,1921957,gene,-
138,LOC107984872,NC_000001.11,1957368,gene,+
139,LOC105378589,NC_000001.11,2013198,gene,-
140,GABRD,NC_000001.11,2019345,gene,+
140,EIG10,NC_000001.11,2019345,gene,+
141,LOC105378590,NC_000001.11,2035766,gene,-
142,PRKCZ,NC_000001.11,2048504,gene,+
142,PKC-ZETA,NC_000001.11,2048504,gene,+
143,PRKCZ-DT,NC_000001.11,2049201,gene,-
144,PRKCZ-AS1,NC_000001.11,2181794,gene,-
145,FAAP20,NC_000001.11,2184477,gene,-
145,C1orf86,NC_000001.11,2184477,gene,-
146,LOC112268219,NC_000001.11,2189798,gene,+
147,LOC105378593,NC_000001.11,2207013,gene,+
148,LOC124903823,NC_000001.11,2212391,gene,+
149,SKI,NC_000001.11,2228319,gene,+
149,SGS,NC_000001.11,2228319,gene,+
150,LOC124903824,NC_000001.11,2314995,gene,+
151,MORN1,NC_000001.11,2321253,gene,-
152,LOC100129534,NC_000001.11,2350414,gene,-
153,RER1,NC_000001.11,2391841,gene,+
154,PEX10,NC_000001.11,2403974,gene,-
154,NALD,NC_000001.11,2403974,gene,-
155,PLCH2,NC_000001.11,2415943,gene,+
155,PLC-eta2,NC_000001.11,2415943,gene,+
156,PANK4,NC_000001.11,2508537,gene,-
156,CTRCT49,NC_000001.11,2508537,gene,-
157,HES5,NC_000001.11,2528745,gene,-
157,bHLHb38,NC_000001.11,2528745,gene,-
158,TNFRSF14-AS1,NC_000001.11,2549920,gene,-
159,TNFRSF14,NC_000001.11,2554234,gene,+
159,ATAR,NC_000001.11,2554234,gene,+
160,LOC100996583,NC_000001.11,2566535,gene,+
161,PRXL2B,NC_000001.11,2586523,gene,+
161,C1orf93,NC_000001.11,2586523,gene,+
162,MMEL1,NC_000001.11,2590639,gene,-
162,MMEL2,NC_000001.11,2590639,gene,-
163,MMEL1-AS1,NC_000001.11,2628756,gene,+
164,TTC34,NC_000001.11,2636986,gene,-
165,LOC105378602,NC_000001.11,2701377,gene,+
166,LOC105378601,NC_000001.11,2762488,gene,+
167,LOC112268220,NC_000001.11,2763419,gene,+
168,LOC107985732,NC_000001.11,2764564,gene,+
169,LOC105378600,NC_000001.11,2766073,gene,+
170,LOC105378598,NC_000001.11,2767828,gene,+
171,LOC107984904,NC_000001.11,2771826,gene,+
172,LOC105378599,NC_000001.11,2773495,gene,+
173,LOC124903825,NC_000001.11,2814058,gene,+
174,LOC124903826,NC_000001.11,2814385,gene,-
175,ACTRT2,NC_000001.11,3021467,gene,+
175,Arp-T2,NC_000001.11,3021467,gene,+
176,LOC124903827,NC_000001.11,3055423,gene,-
177,PRDM16-DT,NC_000001.11,3059617,gene,-
177,LINC00982,NC_000001.11,3059617,gene,-
178,PRDM16,NC_000001.11,3069203,gene,+
178,CMD1LL,NC_000001.11,3069203,gene,+
179,LOC100420339,NC_000001.11,3069658,gene,+
180,MIR4251,NC_000001.11,3127975,gene,+
181,LOC105378606,NC_000001.11,3161281,gene,-
182,LOC107984909,NC_000001.11,3187558,gene,+
183,LOC105378605,NC_000001.11,3210736,gene,-
184,LOC124903828,NC_000001.11,3266945,gene,+
185,LOC105378604,NC_000001.11,3306653,gene,-
186,ARHGEF16,NC_000001.11,3454665,gene,+
186,GEF16,NC_000001.11,3454665,gene,+
187,MEGF6,NC_000001.11,3487951,gene,-
187,EGFL3,NC_000001.11,3487951,gene,-
188,LOC105378608,NC_000001.11,3548480,gene,+
189,MIR551A,NC_000001.11,3560695,gene,-
189,mir-551a,NC_000001.11,3560695,gene,-
190,TPRG1L,NC_000001.11,3625015,gene,+
190,FAM79A,NC_000001.11,3625015,gene,+
191,WRAP73,NC_000001.11,3630770,gene,-
191,WDR8,NC_000001.11,3630770,gene,-
192,TP73,NC_000001.11,3652516,gene,+
192,CILD47,NC_000001.11,3652516,gene,+
193,TP73-AS3,NC_000001.11,3658643,gene,-
194,TP73-AS2,NC_000001.11,3712200,gene,-
195,GFOD3P,NC_000001.11,3735984,gene,-
195,KIAA0495,NC_000001.11,3735984,gene,-
196,CCDC27,NC_000001.11,3752450,gene,+
197,SMIM1,NC_000001.11,3772749,gene,+
197,Vel,NC_000001.11,3772749,gene,+
198,LRRC47,NC_000001.11,3778559,gene,-
199,RN7SL574P,NC_000001.11,3782815,gene,+
200,CEP104,NC_000001.11,3812086,gene,-
200,CFAP256,NC_000001.11,3812086,gene,-
201,LOC124903829,NC_000001.11,3849811,gene,-
202,DFFB,NC_000001.11,3857476,gene,+
202,CAD,NC_000001.11,3857476,gene,+
203,C1orf174,NC_000001.11,3889133,gene,-
204,LINC01134,NC_000001.11,3900404,gene,+
204,TLNC1,NC_000001.11,3900404,gene,+
205,LINC01346,NC_000001.11,3940612,gene,+
206,LINC01345,NC_000001.11,3947149,gene,-
207,LINC02780,NC_000001.11,3976090,gene,+
208,EEF1DP6,NC_000001.11,4175463,gene,-
209,LINC01777,NC_000001.11,4412051,gene,+
210,LOC105376674,NC_000001.11,4432146,gene,+
211,LOC124904578,NC_000001.11,4552005,gene,-
212,LINC01646,NC_000001.11,4571487,gene,+
213,AJAP1,NC_000001.11,4654609,gene,+
213,MOT8,NC_000001.11,4654609,gene,+
214,LINC02781,NC_000001.11,4973391,gene,+
215,LOC124904589,NC_000001.11,4992630,gene,-
216,LOC102724429,NC_000001.11,4997369,gene,+
217,LINC02782,NC_000001.11,5086459,gene,-
218,LOC105376682,NC_000001.11,5131856,gene,+
219,LOC124904590,NC_000001.11,5422642,gene,+
220,LOC107984911,NC_000001.11,5470329,gene,-
221,LOC105376686,NC_000001.11,5490842,gene,-
222,LOC124900451,NC_000001.11,5680952,gene,+
223,LOC124903830,NC_000001.11,5704311,gene,-
224,MIR4689,NC_000001.11,5862672,gene,-
224,mir-4689,NC_000001.11,5862672,gene,-
225,NPHP4,NC_000001.11,5862811,gene,-
225,POC10,NC_000001.11,5862811,gene,-
226,KCNAB2,NC_000001.11,5992676,gene,+
226,AKR6A5,NC_000001.11,5992676,gene,+
227,LOC124903831,NC_000001.11,6085255,gene,+
228,CHD5,NC_000001.11,6101787,gene,-
228,CHD-5,NC_000001.11,6101787,gene,-
229,RPL22,NC_000001.11,6185020,gene,-
229,EAP,NC_000001.11,6185020,gene,-
230,RNF207-AS1,NC_000001.11,6204840,gene,-
231,RNF207,NC_000001.11,6206119,gene,+
231,C1orf188,NC_000001.11,6206119,gene,+
232,ICMT,NC_000001.11,6221193,gene,-
232,HSTE14,NC_000001.11,6221193,gene,-
233,ICMT-DT,NC_000001.11,6236240,gene,+
233,C1orf211,NC_000001.11,6236240,gene,+
234,HES3,NC_000001.11,6244179,gene,+
234,bHLHb43,NC_000001.11,6244179,gene,+
235,GPR153,NC_000001.11,6247353,gene,-
235,PGR1,NC_000001.11,6247353,gene,-
236,ACOT7,NC_000001.11,6264272,gene,-
236,ACH1,NC_000001.11,6264272,gene,-
237,HES2,NC_000001.11,6415232,gene,-
237,bHLHb40,NC_000001.11,6415232,gene,-
238,ESPN,NC_000001.11,6424776,gene,+
238,DFNB36,NC_000001.11,6424776,gene,+
239,MIR4252,NC_000001.11,6429834,gene,-
240,TNFRSF25,NC_000001.11,6460786,gene,-
240,APO-3,NC_000001.11,6460786,gene,-
241,PLEKHG5,NC_000001.11,6467122,gene,-
241,ARHGEF45,NC_000001.11,6467122,gene,-
242,NOL9,NC_000001.11,6521347,gene,-
242,Grc3,NC_000001.11,6521347,gene,-
243,RNU6-731P,NC_000001.11,6540854,gene,+
244,TAS1R1,NC_000001.11,6555307,gene,+
244,GM148,NC_000001.11,6555307,gene,+
245,LOC107984912,NC_000001.11,6567548,gene,-
246,ZBTB48,NC_000001.11,6579994,gene,+
246,HKR3,NC_000001.11,6579994,gene,+
247,KLHL21,NC_000001.11,6590724,gene,-
248,LOC107984913,NC_000001.11,6603447,gene,-
249,PHF13,NC_000001.11,6613731,gene,+
249,PHF5,NC_000001.11,6613731,gene,+
250,THAP3,NC_000001.11,6624868,gene,+
251,DNAJC11,NC_000001.11,6634170,gene,-
251,dJ126A5.1,NC_000001.11,6634170,gene,-
252,LINC01672,NC_000001.11,6724745,gene,+
252,NMR,NC_000001.11,6724745,gene,+
253,LOC124904847,NC_000001.11,6752723,gene,+
254,CAMTA1-DT,NC_000001.11,6783892,gene,-
254,lncCAMTA1,NC_000001.11,6783892,gene,-
255,CAMTA1,NC_000001.11,6785454,gene,+
255,CANPMR,NC_000001.11,6785454,gene,+
256,LOC124903832,NC_000001.11,6828817,gene,+
257,RPL37P9,NC_000001.11,6834282,gene,-
257,RPL37_1_4,NC_000001.11,6834282,gene,-
258,CAMTA1-AS3,NC_000001.11,7008376,gene,-
259,RNU1-8P,NC_000001.11,7219360,gene,+
259,RNU1-8,NC_000001.11,7219360,gene,+
260,CAMTA1-IT1,NC_000001.11,7364394,gene,+
261,CAMTA1-AS2,NC_000001.11,7382487,gene,-
262,CAMTA1-AS1,NC_000001.11,7440567,gene,-
263,LOC105376691,NC_000001.11,7503037,gene,+
264,LOC105376689,NC_000001.11,7693124,gene,-
265,VAMP3,NC_000001.11,7771296,gene,+
265,CEB,NC_000001.11,7771296,gene,+
266,PER3,NC_000001.11,7784291,gene,+
266,FASPS3,NC_000001.11,7784291,gene,+
267,LOC124903833,NC_000001.11,7809137,gene,-
268,UTS2,NC_000001.11,7847612,gene,-
268,PRO1068,NC_000001.11,7847612,gene,-
269,TNFRSF9,NC_000001.11,7915871,gene,-
269,4-1BB,NC_000001.11,7915871,gene,-
270,TRUND-NNN4-1,NC_000001.11,7930279,gene,-
270,tRNA-Und-NNN-4-1,NC_000001.11,7930279,gene,-
271,PARK7,NC_000001.11,7961711,gene,+
271,DJ-1,NC_000001.11,7961711,gene,+
272,LOC124903834,NC_000001.11,7999127,gene,+
273,ERRFI1,NC_000001.11,8011727,gene,-
273,GENE-33,NC_000001.11,8011727,gene,-
274,ERRFI1-DT,NC_000001.11,8026493,gene,+
275,RPL7AP18,NC_000001.11,8057181,gene,-
275,RPL7A_1_5,NC_000001.11,8057181,gene,-
276,LOC107984915,NC_000001.11,8129155,gene,-
277,LOC100129776,NC_000001.11,8189826,gene,+
278,RNU1-7P,NC_000001.11,8206434,gene,-
278,RNU1-7,NC_000001.11,8206434,gene,-
279,LINC01714,NC_000001.11,8208672,gene,+
280,LOC105376695,NC_000001.11,8239958,gene,+
281,LOC124903835,NC_000001.11,8259371,gene,+
282,RNU6-991P,NC_000001.11,8292157,gene,-
283,SLC45A1,NC_000001.11,8318114,gene,+
283,DNB5,NC_000001.11,8318114,gene,+
284,RERE,NC_000001.11,8352404,gene,-
284,ARG,NC_000001.11,8352404,gene,-
285,RERE-AS1,NC_000001.11,8424645,gene,+
286,SNORD128,NC_000001.11,8494800,gene,-
286,ZL43,NC_000001.11,8494800,gene,-
287,LOC124900452,NC_000001.11,8511795,gene,-
288,RPL7P11,NC_000001.11,8750410,gene,+
288,RPL7_1_6,NC_000001.11,8750410,gene,+
289,RPL7P7,NC_000001.11,8786129,gene,-
289,RPL7_1_7,NC_000001.11,8786129,gene,-
290,RPL27P3,NC_000001.11,8798438,gene,+
291,RPL23AP19,NC_000001.11,8831113,gene,+
291,RPL23A_2_8,NC_000001.11,8831113,gene,+
292,ENO1,NC_000001.11,8861000,gene,-
292,ENO1-IT1,NC_000001.11,8861000,gene,-
293,MIR6728,NC_000001.11,8866502,gene,-
293,hsa-mir-6728,NC_000001.11,8866502,gene,-
294,ENO1-AS1,NC_000001.11,8878835,gene,+
295,RNU6-304P,NC_000001.11,8883427,gene,-
296,HMGN2P17,NC_000001.11,8893411,gene,+
297,LOC112268261,NC_000001.11,8905216,gene,-
298,CA6,NC_000001.11,8945868,gene,+
298,CA-VI,NC_000001.11,8945868,gene,+
299,RN7SL451P,NC_000001.11,8979576,gene,-
300,SLC2A7,NC_000001.11,8992534,gene,-
300,GLUT-7,NC_000001.11,8992534,gene,-
301,SLC2A5,NC_000001.11,9035106,gene,-
301,GLUT-5,NC_000001.11,9035106,gene,-
302,LOC124900441,NC_000001.11,9082696,gene,+
303,GPR157,NC_000001.11,9100305,gene,-
304,MIR34AHG,NC_000001.11,9148011,gene,-
304,lnc34a,NC_000001.11,9148011,gene,-
305,MIR34A,NC_000001.11,9151668,gene,-
305,mir-34,NC_000001.11,9151668,gene,-
306,LNCTAM34A,NC_000001.11,9182204,gene,+
306,GUARDIN,NC_000001.11,9182204,gene,+
307,H6PD,NC_000001.11,9234774,gene,+
307,CORTRD1,NC_000001.11,9234774,gene,+
308,LOC124903836,NC_000001.11,9241963,gene,-
309,SPSB1,NC_000001.11,9292894,gene,+
309,SSB-1,NC_000001.11,9292894,gene,+
310,LINC02606,NC_000001.11,9425094,gene,-
311,RNA5SP40,NC_000001.11,9437669,gene,-
311,RN5S40,NC_000001.11,9437669,gene,-
312,SLC25A33,NC_000001.11,9539465,gene,+
312,BMSC-MCP,NC_000001.11,9539465,gene,+
313,RPL9P11,NC_000001.11,9576405,gene,+
313,RPL9_1_9,NC_000001.11,9576405,gene,+
314,TMEM201,NC_000001.11,9588911,gene,+
314,Ima1,NC_000001.11,9588911,gene,+
315,LOC124903837,NC_000001.11,9614664,gene,+
316,PIK3CD,NC_000001.11,9627258,gene,+
316,APDS,NC_000001.11,9627258,gene,+
317,LOC105376712,NC_000001.11,9628447,gene,-
318,PIK3CD-AS1,NC_000001.11,9652610,gene,-
318,C1orf200,NC_000001.11,9652610,gene,-
319,RPL26P7,NC_000001.11,9662288,gene,-
319,RPL26_1_10,NC_000001.11,9662288,gene,-
320,PIK3CD-AS2,NC_000001.11,9672426,gene,-
321,LOC124903839,NC_000001.11,9718103,gene,-
322,CLSTN1,NC_000001.11,9728926,gene,-
322,ALC-ALPHA,NC_000001.11,9728926,gene,-
323,MZT1P1,NC_000001.11,9780822,gene,+
324,CTNNBIP1,NC_000001.11,9848276,gene,-
324,ICAT,NC_000001.11,9848276,gene,-
325,LOC105376717,NC_000001.11,9850665,gene,+
326,LOC124903838,NC_000001.11,9879947,gene,-
327,LZIC,NC_000001.11,9922118,gene,-
328,NMNAT1,NC_000001.11,9942923,gene,+
328,LCA9,NC_000001.11,9942923,gene,+
329,RN7SKP269,NC_000001.11,9947318,gene,+
330,TMEM274P,NC_000001.11,9950572,gene,-
331,MIR5697,NC_000001.11,9967381,gene,+
332,LOC124903840,NC_000001.11,9996719,gene,-
333,RBP7,NC_000001.11,9997228,gene,+
333,CRABP4,NC_000001.11,9997228,gene,+
334,UBE4B,NC_000001.11,10032958,gene,+
334,E4,NC_000001.11,10032958,gene,+
335,RPL21P21,NC_000001.11,10054412,gene,-
335,RPL21_1_11,NC_000001.11,10054412,gene,-
336,PGAM1P11,NC_000001.11,10058673,gene,+
337,RNU6-828P,NC_000001.11,10163268,gene,+
338,KIF1B,NC_000001.11,10210570,gene,+
338,CMT2,NC_000001.11,10210570,gene,+
339,RNU6-37P,NC_000001.11,10298966,gene,+
339,RNU6-37,NC_000001.11,10298966,gene,+
340,RN7SL731P,NC_000001.11,10306465,gene,+
341,PGD,NC_000001.11,10399064,gene,+
341,6PGD,NC_000001.11,10399064,gene,+
342,CENPS-CORT,NC_000001.11,10430433,gene,+
342,APITD1,NC_000001.11,10430433,gene,+
343,CENPS,NC_000001.11,10430433,gene,+
343,APITD1,NC_000001.11,10430433,gene,+
344,CORT,NC_000001.11,10450031,gene,+
344,CST-14,NC_000001.11,10450031,gene,+
345,DFFA,NC_000001.11,10456522,gene,-
345,DFF-45,NC_000001.11,10456522,gene,-
346,PEX14,NC_000001.11,10474950,gene,+
346,dJ734G22.2,NC_000001.11,10474950,gene,+
347,RN7SL614P,NC_000001.11,10616836,gene,+
348,CASZ1,NC_000001.11,10636604,gene,-
348,CAS11,NC_000001.11,10636604,gene,-
349,LOC105376733,NC_000001.11,10809160,gene,-
350,HSPE1P24,NC_000001.11,10895761,gene,+
351,LOC105376735,NC_000001.11,10912912,gene,-
352,C1orf127,NC_000001.11,10946475,gene,-
353,CFL1P6,NC_000001.11,10989810,gene,-
353,CFLP6,NC_000001.11,10989810,gene,-
354,TARDBP,NC_000001.11,11012654,gene,+
354,ALS10,NC_000001.11,11012654,gene,+
355,MASP2,NC_000001.11,11026523,gene,-
355,MAP-2,NC_000001.11,11026523,gene,-
356,SRM,NC_000001.11,11054589,gene,-
356,PAPT,NC_000001.11,11054589,gene,-
357,EXOSC10,NC_000001.11,11066618,gene,-
357,p2,NC_000001.11,11066618,gene,-
358,EXOSC10-AS1,NC_000001.11,11099675,gene,+
359,MTOR,NC_000001.11,11106535,gene,-
359,FRAP,NC_000001.11,11106535,gene,-
360,MTOR-AS1,NC_000001.11,11143898,gene,+
361,RNU6-537P,NC_000001.11,11152350,gene,+
362,LOC124904848,NC_000001.11,11169507,gene,-
363,ANGPTL7,NC_000001.11,11189355,gene,+
363,AngX,NC_000001.11,11189355,gene,+
364,RNU6-291P,NC_000001.11,11226254,gene,+
365,RPL39P6,NC_000001.11,11232910,gene,+
365,RPL39_1_12,NC_000001.11,11232910,gene,+
366,UBIAD1,NC_000001.11,11273198,gene,+
366,SCCD,NC_000001.11,11273198,gene,+
367,UBE2V2P3,NC_000001.11,11278414,gene,-
368,LOC105376737,NC_000001.11,11311876,gene,-
369,LOC105376739,NC_000001.11,11357945,gene,+
370,LOC105376740,NC_000001.11,11371689,gene,+
371,LOC124903841,NC_000001.11,11394935,gene,+
372,MTCYBP45,NC_000001.11,11425257,gene,-
373,DISP3,NC_000001.11,11479155,gene,+
373,PTCHD2,NC_000001.11,11479155,gene,+
